0,1,2,3
Variables,"Male (%)
(n=5717)","Female (%)
(n=4593)","Total (%)
(n=10310)"
Religion,,,
Islam,5390 (94.3),4301 (93.6),9691 (94.0)
Hinduism,313 (5.5),269 (5.9),582 (5.6 )
Christianity,4 (0.1),14(0.3),18 (0.2)
Buddhism,10 (0.2),9 (0.2),19 (0.2)
Marital status,,,
Never married,314 (5.5),213 (4.6),527 (5.1)
Married,5396 (94.4),3852 (83.9),9248 (89.7)
Widowed,5 (0.1),501 (10.9),506 (4.9)
Divorced,2 (0.0),27 (0.6),29 (0.3)
Education,,,
Not applicable,68 (1.2),48 (1.0),116 (1.1)
Illiterate,1914 (33.5),2000 (43.5),3914 (38.0)
Primary,2579 (45.1),1844 (40.1),4423 (42.9)
Secondary,555 (9.7),370 (8.1),925 (9.0)
Higher secondary,278 (4.9),177 (3.9),455 (4.4)
Graduate & above,323 (5.6),154 (3.4),477 (4.6)
Occupation,,,
Not applicable,69 (1.2),45 (1.0),114 (1.1)
Service,812 (14.2),121 (2.6),933 (9.0)
Business,904 (15.8),8 (02),912 (8.8)
Agriculture,3100 (54.2),12 (0.3),3112 (30.2)
Day labourer,262 (4.6),2(0.0),264 (2.6)
House wife,-,4263 (92.8),4263 (41.3)
Retired/ aged,274 (4.8),17 (0.4),291 (2.8)
Industrial worker,59(1.0),1 (0.0),60 (0.6)
Student,207 (3.6),146 (3.2),353 (3.4)
Others,3 (0.1),5 (0.1),8 (0.1)
