0,1,2,3
Primary site of tumour,"Sex
Male Female",,Total
,,Female,
Nasal cavity,5 (.2),1 (0.3),6 (0.3)
"Middle ear, inner ear",7 (.3),6 (1.7),13 (.5)
Maxillary sinuses,8 (.4),8 (2.3),16 (0.7)
Frontal sinuses,4 (.2),2 (.6),6 (0.3)
"Glottis, Vocal cord",85 (4.2),5 (1.4),90 (3.8)
"Supraglottis, Epiglottis,
Larynx","103 (5.1)
131 (6.5)","12 (3.4)
12 (3.4)","115 (4.8)
143 (6.0)"
Bronchous,38 (1.9),8 (2.3),46 (1.9)
Lung,1562 (77.1),267 (75.2),1829 (76.8)
Pleura,84 (4.1),34 (9.6),118 (5.0)
Total,2027 (100.0),355 (100.0),2382 (100.0)
