0,1,2,3
Primary site of tumour,Sex,,Total
,Male,Female,
Cervical oesophagus,52 (2.8),28 (2.7),80 (2.8)
Oesophagus,422 (23.0),199 (19.5),621 (21.7)
Gastric antrum,3 (0.2),6 (0.6),9 (0.3)
Stomach,379 (20.7),173 (16.9),552 (19.3)
Duodenum,4 (0.2),2 (0.2),6 (0.2)
Ileum,12 (0.7),11 (1.1),23 (0.8)
Cecum,19 (1.0),12 (1.2),31 (1.1)
Appendix,1 (0.1),0 (0.0),1 (0.0)
Ascending colon,1 (0.1),0 (0.0),1 (0.0)
Hepatic flexure,4 (0.2),6 (0.6),10 (0.4)
Transverse colon,1 (0.1),0 (0.0),1 (0.0)
Sigmoid colon,5 (0.3),2 (0.2),7 (0.2)
Colon,123 (6.7),72 (7.0),195 (6.8)
Rectum,262 (14.3),164 (16.0),426 (14.9)
Anus,1 (0.1),1 (0.1),2 (0.1)
Anal canal,27 (1.5),17 (1.7),44 (1.5)
Liver,350 (19.1),159 (15.5),509 (17.8)
Intra hepatic bile duct,1 (0.1),0 (0.0),1 (0.0)
Gall blader,129 (7.0),142 (13.9),271 (9.5)
Bile duct,3 (0.2),10 (1.0),13 (0.5)
Ampula of vater,2 (0.1),1 (0.1),3 (0.1)
Biliary tract,1 (0.1),0 (0.0),1 (0.0)
Head of pancrease,7 (0.4),3 (0.3),10 (0.4)
Pancrease,25 (1.4),15 (1.5),40 (1.4)
Total,1834 (100.0),1023 (100.0),2857 (100.0)
