0,1,2,3
ICD-O,Primary site,Frequency,Percent
C00-C14,"Lip, oral cavity and pharynx",1470,10.5
C15-C26,Digestive organ,2857,20.3
C30-C39,Respiratory system and intrathoracic organs,2810,20.0
C40-C41,"Bones, joints and articular cartilage",108,0.8
C42,Haemopoietic and reticuloendothelial systems,253,1.8
C44,Skin,76,.5
C47,Peripheral nerve and autonomic nervous system,2,.0
C48,Retroperitoneum and peritoneum,7,.0
C49,"Connective, subcutaneous and other soft tissues",296,2.1
C50,Breast,2095,14.9
C51-C58,Female genital organs,1354,9.6
C60-C63,Male genital organs,179,1.3
C64-C68,Urinary tract,351,2.5
C69-C72,"Eye, brain and other parts of CNS",239,1.7
C73-C75,Thyroid and other endocrine glands,124,.9
C76,Other ill defined sites,39,.3
C77,Lymph nodes,1636,11.6
C80,Unknown primary site,148,1.1
,Total,14044,100.0
,,,
