0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Name of,,Admission (N),,,Death (N),,,Outdoor (N),,,,,,,,
,Bed (N),,,,,,,,,,,ALS,BOR,HDR,ADA,ADOP
hospital,,M,F,T,M,F,T,M,F,Child,T,,,,,
,,,,,,,,,,,,,,,,
IDH,,,,,,,,,,,,,,,,
Rajshahi,20,230,84,314,38,2,40,168,96,26,290,31,112.11,15.27,1,1
Khulna,20,326,266,592,16,12,28,,,,0,7,53.53,4.75,2,0
Dhaka,100,654,516,1170,74,30,104,24782,10010,16230,51022,16,46.09,9.63,3,140
Sylhet,20,,,0,,,0,,,,0,0,0.00,,0,0
Chittagong,20,192,70,262,10,12,22,,,,0,37,144.56,7.61,1,0
Total,180,1402,936,2338,138,56,194,24950,10106,16256,51312,18,60.07,8.73,2,35
"Note: M- Male; F- Female; T- Total; ALS- Average Length of Stay; BOR- Bed Occupancy Rate; HDR- Hospital Death Rate; ADA- Average
Daily Admission; ADOP- Average Daily Outdoor Patients",,,,,,,,,,,,,,,,
