0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"Name of
Dist.","Bed
(N)",Admission,,,Death (N),,,Outdoor,,,,ALS,BOR,HDR,ADA,ADOP
,,M,F,T,M,F,T,M,F,Child,T,,,,,
Bhola,100,4800,7718,12518,92,156,248,20124,29098,24492,73714,4,106.1,2.3,34,202
Shariatpur,100,3022,4634,7656,82,90,172,20806,26206,26570,73582,4,83.7,2.2,21,202
Madaripur,100,4116,8102,12218,48,68,116,21776,18666,18676,59118,3,91.5,0,33,162
Gopalganj,100,6312,5422,11734,218,148,366,26682,27568,27496,81746,3,101.8,3.2,32,224
Faridpur,100,7570,8480,16050,200,128,328,33202,38128,38450,109780,4,161.0,2.1,44,301
Rajbari,100,3146,6900,10046,134,58,192,28600,28844,21414,78858,4,105.5,0,28,216
Manikganj,100,4676,5736,10412,192,226,418,58604,72214,72234,203052,4,113.7,4.3,29,556
Munshignj,100,3641,6110,9751,53,29,82,46086,52778,42288,141152,4,100.7,0.8,27,387
Narayangonj,100,3294,4578,7872,14,22,36,100574,71556,40280,212410,3,73.4,0.4,22,582
Gazipur,100,3472,7276,10748,52,96,148,23414,41000,35494,99908,3,71.9,1.6,29,274
Kishoreganj,100,18484,15552,34036,398,256,654,47240,63038,45290,155568,4,234.8,2.8,93,426
Netrokona,100,6858,8614,15472,132,44,176,29918,38154,33442,101514,3,109.5,1.1,42,278
Sunamganj,100,3067,9509,12576,55,194,249,27876,37584,40518,105978,3,88.6,2.1,34,290
M.Bazar,100,10308,9510,19818,186,150,336,66030,58140,64410,188580,2,126.8,1.7,54,517
Hobiganj,100,6734,14214,20948,138,580,718,44118,45216,33942,123276,3,144.1,3.7,57,338
B. Baria,100,8418,7118,15536,320,246,566,65672,72080,60222,197974,4,175.2,3.8,43,542
Comilla,100,5366,6148,11514,160,134,294,54154,66708,41944,162806,5,150.3,2.7,32,446
Laximpur,100,8024,7180,15204,234,196,430,45570,44494,38780,128844,4,"152.2
7",3.1,42,353
Feni,100,7744,18054,25798,200,332,532,86384,66858,60472,213714,3,214.7,2.1,71,586
Rangamati,100,3978,3686,7664,78,84,162,17216,16554,19574,53344,4,81.5,2.1,21,146
Bandarban,100,1650,2232,3882,10,36,46,9266,10718,7672,27656,4,43.6,1.3,11,76
Cox's Bazar,100,12354,12478,24832,376,342,718,85406,90632,157936,333974,3,183.8,3.4,68,915
Sherpur,100,12728,4698,17426,154,82,236,17614,18110,13852,49576,3,80.9,2.8,48,136
Khagrachhari,100,3770,3440,7210,106,94,200,22110,25538,21370,69018,5,73.1,3.6,20,189
Total,4500,301356,383726,685082,7084,6777,13861,1790307,2071183,1756861,5618351,3,116.9,2.32,1877,"1539
3"
"Note: M -Male; F -Female; T -Total; ALS -Average Length of Stay; BOR -Bed Occupancy Rate; HDR -Hospital Death Rate; ADA -Average Daily Admission;
ADOP -Average Daily Outdoor Patients",,,,,,,,,,,,,,,,
