0,1,2
Name of institute,Estd.,Total
"Bangladesh Medical College, Dhaka",-,25
"Bangladesh Institute of Medical and Dental Technology,
Dhaka",1996,150
"Centre for Rehabilitation of the Paralyzed (CRP), Dhaka",1999,200
"Institute of Health Technology, Chittagong",2000,200
"Health Wage Institute of Medical Technology, Bogra",2002,181
"Janata Institute of Medical Technology, Bogra",2002,115
"Marks Institute of Medical Technology, Dhaka",2002,150
"Green view Institute of medical technology, Dhaka",2002,105
"Rajshahi Institute of Medical Technology, Rajshahi",2002,170
"National Institute of Medical Technology, Dhaka",2003,150
"Radiant College of Medical Technology, Dhaka",2003,80
"Institute of Medical Technology, Chittagong",2003,150
"Institute of Medical Technology, Faridpur",2005,100
"National Institute of Medical & Dental Technology, Dhaka",2005,65
"New lab Institute of Medical Technology, Dhaka",2005,110
"Chittagong Institute of Medical Technology, Chittagong",2005,150
"Elah College of Medical Technology, Comilla",2005,50
"Institute of Community Health Bangladesh, Dhaka",2005,75
