0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,,,,,,,,
,,Admission (N),,,Death (N),,,Outdoor (N),,,,,,,,
Name of,,,,,,,,,,,,,,,,
,Bed (N),,,,,,,,,,,ALS,BOR,HDR,ADA,ADOP
hospital,,,,,,,,,,,,,,,,
,,M,F,T,M,F,T,M,F,Child,T,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NICVD,414,23214,10432,33646,1640,772,2412,91147,47889,8534,147570,5,117.85,7.06,92,404
NIDCH,670,6971,2608,9579,669,181,850,45408,29428,0,74816,24,92.35,8.93,26,205
NITOR,500,17535,3317,20852,137,87,224,77378,39216,26703,143297,8,89.15,1.12,57,393
NIO,100,1252,1368,2620,0,0,0,30756,21948,11742,64446,10,75.63,0.00,7,177
NIKDU,116,3056,1830,4886,126,84,210,34884,17830,3840,56554,0,90.97,0.00,13,155
IMHR,150,749,427,1176,0,0,0,12692,9209,0,21901,42,79.11,0.00,3,60
Total,2050,48972,17725,72759,2446,1040,3486,244689,138481,46979,508584,9,83.49,5.24,33,232
"Note: M- Male; F- Female; T- Total; ALS- Average Length of Stay; BOR- Bed Occupancy Rate; HDR- Hospital Death Rate; ADA- Average
Daily Admission; ADOP- Average Daily Outdoor Patients",,,,,,,,,,,,,,,,
