0,1,2,3,4,5,6,7
Division wise manpower summary under DGHS (No.),,,,,,,
"Name of
division",Class,,Sanctioned Post,Existing,,,Vacant
,,,,Male,Female,Total,
Dhaka Division,Class I,Doctors,7201,4250,1474,5724,1477
,,Non-Doctors,216,93,29,122,94
,Class II,,600,196,287,483,117
,Class III,,20236,8945,6713,15658,4578
,Class IV,,9355,5407,1960,7367,1988
"Chittagong
Division",Class I,Doctors,3205,1548,389,1937,1268
,,Non-Doctors,57,17,4,21,36
,Class II,,199,31,108,139,60
,Class III,,11727,5247,2628,7875,3852
,Class IV,,4175,2318,661,2979,1196
"Rajshahi
Division",Class I,Doctors,4343,1954,434,2388,1955
,,Non-Doctors,86,34,7,41,45
,Class II,,272,62,137,199,73
,Class III,,15161,7608,3921,11529,3632
,Class IV,,6223,3638,1194,4832,1391
"Khulna
Division",Class I,Doctors,1918,878,161,1039,879
,,Non-Doctors,46,20,7,27,19
,Class II,,142,30,85,115,27
,Class III,,7018,3056,2233,5289,1729
,Class IV,,2389,1309,509,1818,571
Barisal Division,Class I,Doctors,1364,537,95,632,732
,,Non-Doctors,24,6,0,6,18
,Class II,,94,10,63,73,21
,Class III,,4938,1955,1634,3589,1349
,Class IV,,1775,1002,264,1266,509
Sylhet Division,Class I,Doctors,1212,546,116,662,550
,,Non-Doctors,20,3,0,3,17
,Class II,,79,9,23,32,47
,Class III,,4367,2015,785,2800,1567
,Class IV,,1702,927,324,1251,451
Total,,,110144,53651,26245,79896,30248
