0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,ICD-10,,,Name of diseases,,,Male (%),,,Female (%),,,Total (%),
34,,,Lung,,,1446 (25.5),,,227 (5.6),,,1673 (16.5),,
50,,,Breast,,,17 (0.3),,,1039 (25.6),,,1046 (12.0),,
53,,,Cervix,,,,,,872 (21.5),,,872 (9.0),,
77,,,Lymph node and lymphatic,,,420 (7.4),,,167 (4.1),,,587 (6.1),,
15,,,Oesophagus,,,334 (5.9),,,138 (3.4),,,472 (4.7),,
16,,,Stomach,,,272 (4.8),,,101(2.5),,,373 (3.6),,
32,,,Larynx,,,306 (5.4),,,40 (1.0),,,346 (2.7),,
22,,,Liver,,,187 (3.3),,,65 (1.6),,,252 (2.4),,
2.9,,,Tongue,,,148 (2.6),,,57 (1.4),,,205 (2.0),,
80,,,Unknown Primary,,,335 (5.9),,,109 (2.7),,,444 (3.1),,
