0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"n
o
is
iv
iD",District,2019,,,,,,,,2020*,,,,,,,
,,"s
k
a
e
r
b
tu
o
d
e
ta
g
it
s
e
v
n
I
#","s
k
a
e
r
b
tu
o
s
e
ls
a
e
M
#","k
a
e
r
b
tu
o
a
lle
b
u
R
#","s
k
a
e
r
b
tu
o
d
e
x
iM
#","s
k
a
e
r
b
tu
o
d
e
n
ife
d
n
U
#","s
k
a
e
r
b
tu
o
d
e
d
r
a
c
s
iD
#","s
g
n n
id o
n ita
e
p c
ifis
s
k a e s a
r lc
b
tu r o
O f
#","s
k
a
e
r
b
tu
o
n
i
s
h
ta
e
D
#","s
k
a
e
r
b
tu
o
d
e
ta
g
it
s
e
v
n
I
#","s
k
a
e
r
b
tu
o
s
e
ls
a
e
M
#","k
a
e
r
b
tu
o
a
lle
b
u
R
#","s
k
a
e
r
b
tu
o
d
e
x
iM
#","s
k
a
e
r
b
tu
o
d
e
n
ife
d
n
U
#","s
k
a
e
r
b
tu
o
d
e
d
r
a
c
s
iD
#","s
g
n n
id o
n ita
e
p c
ifis
s
k a e s a
r lc
b
tu r o
O f
#","s
k
a
e
r
b
tu
o
n
i
s
h
ta
e
D
#"
"la
s
ir
a
B",Barguna,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,Barisal,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,Barisal CC,3,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0
,Bhola,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
,Jhalakati,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0
,Patuakhali,4,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0
,Perojpur,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
,Barisal,17,15,0,0,0,2,0,0,8,0,0,0,2,6,0,0
"g
n
o
g
a
tt
ih
C",Bandarban,3,1,0,0,0,2,1,0,6,6,0,0,0,0,0,1
,Brahmanbaria,4,2,0,0,1,1,0,0,4,2,0,1,0,1,0,0
,Chandpur,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0
,Chittagong,6,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0
,Chittagong CC,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,Comilla,8,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
,Comilla CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cox's Bazar,6,1,0,1,1,3,0,0,1,0,0,0,0,1,0,0
,Feni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Khagrachari,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1
,Lakshmipur,11,8,0,0,3,0,1,0,1,0,0,0,0,1,0,0
,Noakhali,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rangamati,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8
,Chittagong,42,19,0,2,7,14,2,0,17,12,0,1,0,4,0,10
"a
k
a
h
D",Dhaka,2,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1
,DNCC,5,3,0,0,1,1,0,0,1,0,0,0,1,0,0,0
,DSCC,9,4,0,0,1,4,0,0,0,0,0,0,0,0,0,0
,Faridpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gazipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gazipur CC,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
,Gopalganj,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kishoreganj,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Madaripur,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Munshiganj,3,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0
,Narayanganj,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Narayanganj CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Narsingdi,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
,Netrokona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Shariatpur,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tangail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Dhaka,30,14,0,1,4,11,0,3,3,0,0,1,2,0,0,1
"a
n
lu
h
K",Bagerhat,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chuadanga,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Jessore,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0
,Jhenaidah,4,3,0,1,0,0,0,0,3,2,0,0,1,0,0,0
,Khulna,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0
,Khulna CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kushtia,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,Magura,6,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0
,Meherpur,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0
,Narail,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0
,Satkhira,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Khulna,23,15,0,1,3,4,0,0,10,6,0,1,3,0,0,0
