0,1,2,3,4,5,6,7,8,9,10
"Table 4.6.6. Batches and participants of workshops/seminars/orientation meetings held in
administrative divisions on different health issues during 2023",,,,,,,,,,
"Administra-
tive division","No. of
batches",Description of participants,,,,,,,,
,,MOHFW personnel,,,Non-MOHFW personnel,,,Grand total,,
,,Male,Female,Total,Male,Female,Total,Male,Female,Total
Barishal,61,884,642,"1,526",592,324,916,"1,476",966,"2,442"
Chattogram,159,"2,601","1,536","4,137","4,450","1,484","5,934",7051,"3,020","10,071"
Dhaka,299,"3,777","2,223","6,000","5,477","2,200",7656,"9,254","4,423","13,677"
Khulna,104,"1,716",838,"2,554","3,002",812,"3,814","4,718","1,650","6,368"
Mymensingh,59,686,674,"1,360",761,372,"1,133","1,447","1,046","2,493"
Rajshahi,85,813,828,"1,641","1,723",692,"2,415","2,536","1,520","4,056"
Rangpur,86,823,"1,030","1,853","1,719",517,"2,236","2,542","1,547","4,089"
Sylhet,93,"1,453",863,"2,316","1,610",504,"2,114","3,063","1,367","4,430"
Total,946,"12,753","8,634","21,387","19,334","6,905","26,218","32,087","15,539","47,626"
