0,1,2,3,4
Table continued...,,,,
Description of the thematic area of messages,"Days
published","Published in
newspapers",,
,,Bangla,English,Total
Emergency health messages on Nipah virus,3,28,5,33
Health messages on heat stroke,2,6,3,9
"Health messages on safety and quality of foods for Holy
Ramadan",11,57,5,62
"Publication of supplement on the celebration of World
Health Day 2023",1,4,1,5
Advertising campaign on National Deworming Week,1,5,0,5
"Advertisement on the prevention of new variant (BF7)
of COVID-19",1,6,1,7
"Advertising campaign for hygiene on the occasion of
Bishaw Istema 2023",6,66,7,73
Advertising campaign on the prevention of COVID-19,1,1,0,1
Advertising campaign on Kangaroo Mother Care,1,8,,8
"Advertisement congratulating Mrs Saima Wazed for
being appointed the Regional Director of WHO",2,8,3,11
Total,44,294,39,333
