0,1,2,3,4
"Table 1.3. Marriage, divorce, and separation in Bangladesh during 2023 (SVRS 2023)",,,,
"Crude marriage rate (per 1,000 population)",,,Mean age at first marriage,
Total,15.7,,Rural,Male: 24.0
Rural,16.8,,,Female: 18.1
Urban,12.0,,Urban,Male: 25.1
Marital status of population aged 10+ years (%),,,,Female: 19.9
Never married,Male: 35.8,,"Crude divorce rate (per 1,000 population)",
,Female: 21.7,,Total,1.1
Currently married,Male: 62.2,,Rural,1.1
,Female: 65.6,,Urban,0.9
"Widowed/Separated/
Divorced",Male: 2.0,,"Crude separation rate (per 1,000
population)",
,Female: 12.7,,,
Early/child marriage (%),,,Total,0.26
Before 15 years of age,Rural: 8.8,,Rural,0.28
,Urban: 6.8,,Urban,0.22
Before 18 years of age,Rural: 44.4,,,
,Urban: 33.5,,,
