0,1,2,3,4
"Sl.
No.",Name of Package,Major Limitations Found,Required Corrective Action,Timeline
,,not have proper PPEs.,,
2,"Construction of 50 Bed
Isolation Unit & 10 Bed
ICU/CCU at Khulna Medical
College Hospital, Khulna","- All the construction activities are
completed. However, no marking
and signboard was found at the
entrance about the project as well
as the facilities developed by the
project.
- Contractor yet not provided the
autoclave as mentioned in the
EMP.","- The contractor’s
representative is advised to
provide proper sign and notice
in front of all facilities including
the project information.
- Contractor’s representative is
guided to purchase the
autoclave before handing over
the site.","Before
handover to
hospital
authority."
3,"Installation of Medical Gas
System at Khulna Medical
College Hospital, Khulna",,,
4,"Construction of 50 Bed
Isolation Unit & 10 Bed
ICU/CCU at Sheikh Sayera
Khatun Medical College
Hospital, Gopalganj","- Though construction wastes are
removed daily from the site, but
the wastes are not kept properly
which make difficulty to move
around the site.
- Contractor yet not purchased the
autoclave as mentioned in the
EMP.","- The contractor’s
representative is advised to
remove/manage the waste
properly to avoid any accident.
- Contractor’s representative is
guided to purchase the
autoclave before handing over
the site.","- Construction
work is
completed.
However, it
was
monitored
during the
period and
ensured
regularly.
- Before
handover to
hospital
authority."
5,"Installation of Medical Gas
System at Sheikh Sayera
Khatun Medical College
Hospital, Gopalganj",,,
6,"Construction of 50 Bed
Isolation Unit & 10 Bed
ICU/CCU at Mymensingh
Medical College Hospital,
Mymensingh",NA,"- The site is handed over
following the requirement of
EMP.",
7,"Installation of Medical Gas
System at Mymensingh
Medical College Hospital,
Mymensingh",,,
8,"Construction of PCR
Laboratory at National
Institute of Preventive and
Social Medicine (NIPSOM),
Dhaka",NA,"- A few workers are working
following the guidance given in
EMP. Therefore, no further
instruction was given by the
Consultant.",
9,"Construction of PCR
Laboratory at DNCC
dedicated COVID-19
Hospital, Dhaka","- All the construction activities are
completed. However, no marking
and signboard was found at the
entrance about the project as well
as the facilities developed by the
project.","- The contractor’s
representative is advised to
provide proper sign and notice
in front of all facilities including
the project information.","Before
handover to
hospital
authority."
10,"Construction of 50 Bed
Isolation Unit & 10 Bed
ICU/CCU at Cumilla Medical
College Hospital, Cumilla","- The contractor handed over the
site long ago. However, the facility
is yet not started its operation due
to unavailability of equipment. The","- The hospital authority
requested to keep the facility
clean before receiving the
equipment.","Before
supplying the
instruments"
