0,1,2,3,4
Package/Lot,"Final IEE/EMP Provided
to Contractor (Yes/No)","Disclosed
on DGHS/project
website","Site-specific EMP
Approved by PIU
(Yes/No)",Disclosure Link
Installation of Medical Gas System,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-14-
51f1f464398fae54ed7c6cd6283838a7.pdf"
"Chittagong Medical College Hospital, Chittagong",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-06-56-
09f12f8975963d8f91a57987d1aeb411.pdf"
Installation of Medical Gas System,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-11-
8c105898132e55167a02aece2420dfd5.pdf"
"Gopalganj Medical College Hospital, Gopalganj",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,NO,YES,
Installation of Medical Gas System,YES,NO,YES,
Construction of PCR lab at MCH/Institute,,,,
"DNCC dedicated COVID -19 Hospital, Dhaka.",YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-21-
61afac2023ba7b62a3eb47f6f64eb286.pdf"
"National Institute of Preventive & Social Medicine, Dhaka",YES,YES,,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-22-
b0a5cd912a3fa53dd9ef128ce7ab0bb4.pdf"
Establishment of Medical Centers in Land-Ports,,,,
"Akhaura Land Port, Brahmanbaria",YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-26-
f54ad2c12f55587534f889ce29db2a94.pdf"
