0,1,2,3
Primary site of tumour,Sex,,Total
,Male,Female,
Oesophagus,375 (26.8),179 (23.7),554 (25.7)
Gastric antrum,3 (0.2),1 (0.1),4 (0.2)
Stomach,299 (21.4),104 (13.8),403 (18.7)
Duodenum,3 (0.20),0 (0.0),3 (0.1)
Jejunum,01 (0.1),01 (0.1),2 (0.1)
Ileum,4 (0.3),5 (0.7),9 (0.3)
Cecum,9 (0.6),7 (0.9),16 (0.7)
Hepatic flexure,6 (0.4),2 (0.3),8 (0.4)
Sigmoid colon,5 (0.4),0 (0.0),5 (0.2)
Colon,86 (6.1),47 (6.2),133 (6.2)
Rectum,191 (13.6),140 (18.5),331 (15.4)
Anal canal,13 (0.9),11 (1.5),24 (1.1)
Liver,286 (20.4),118 (15.6),404 (18.7)
Intra hepatic bile duct,0 (0.0),1 (0.1),1 (0.0)
Gall blader,91 (6.5),132 (17.5),223 (10.3)
Bile duct,2 (0.1),0 (0.0),2 (0.1)
Ampula of vater,2 (0.1),0 (0.0),2 (0.1)
Head of pancrease,4 (0.3),0 (0.0),4 (0.2)
Pancreas,20 (1.4),7 (0.9),27 (1.3)
Total,1400 (100.0),755 (100.0),2155 (100.0)
