0,1,2,3,4,5,6,7
Site,Male,Female,Total,Site,Male,Female,Total
Tubo ovarian & Utero ovarian,,40,40,Orbit,5,4,9
Malignant tumour,,2,2,Small cell ca,0,1,1
Sq cell ca,,14,14,Sq cell ca,3,1,4
Adenoid Sq cell ca,,6,6,Adenoid Sq cell ca,1,0,1
Adenocarcinoma,,9,9,Adenocarcinoma,0,1,1
Adeno cystic ca,,5,5,Ewing's sarcoma,0,1,1
Dysgerminoma,,2,2,Neuroblstoma,1,0,1
Teratoma,,1,1,Eye,23,16,39
Choriocarcinoma,,1,1,Sq cell ca,0,1,1
Penis,9,,9,Adenoid Sq cell ca,1,0,1
Sq cell ca,7,,7,Retinoblastoma,22,15,37
Adenocarcinoma,1,,1,Spinal menengis,1,,1
Angiomyosarcoma,1,,1,Meningioma,1,,1
Prostate,114,,114,Meninges (NOS),4,7,11
Sq cell ca,9,,9,Meningioma,4,7,11
Adenocarcinoma,105,,105,Cerebram,1,,1
Testis,56,,56,Neuroblstoma,1,,1
Malignant tumour,1,,1,Frontal lobe,2,1,3
Sq cell ca,13,,13,Sq cell ca,1,0,1
Adenocarcinoma,1,,1,Ependymoma,0,1,1
Sarcoma,1,,1,Glioblastoma,1,0,1
Rhabdomyosarcoma,1,,1,Parietal lobe,1,,1
Embryonal sarcoma,4,,4,Sq cell ca,1,,1
Seminoma,27,,27,Occipital lobe,,2,2
Germ cell tumour,4,,4,Adenocarcinoma,,1,1
Teratoma,2,,2,Ependymoma,,1,1
Teratocarcinoma,1,,1,Cerebellum,2,,2
Malignent teratoma,1,,1,Glioblastoma,1,,1
Kidney,77,31,108,Neuroblstoma,1,,1
Renal cell ca,76,30,106,Brain,104,52,156
Nephrpblastoma,1,1,2,Sq cell ca,1,0,1
Bladder,177,66,243,Sarcoma,1,0,1
Papillary ca,1,0,1,Germ cell tumour,1,0,1
Sq cell ca,2,2,4,Glioma,11,4,15
Transitional cell ca,173,64,237,Ependymoma,9,4,13
Adenocarcinoma,1,0,1,Astrocytoma,54,35,89
Conjunctiva,1,,1,Glioblastoma,16,6,22
Fibrous histocytoma,1,,1,Meduloblastoma,9,0,9
Eye ball,4,7,11,Neuroblstoma,2,3,5
Malignant tumour,0,1,1,Spinal cord,2,,2
Sq cell ca,1,1,2,Ependymoma,2,,2
Malignant melanoma,1,0,1,Thyroid,46,77,123
Fibrous histocytoma,0,1,1,Papillary ca,46,76,122
Retinoblastoma,2,4,6,Duct cell ca,0,1,1
