0,1,2,3,4,5,6,7,8,9,10,11
ICD-O,Primary site of tumour,Age group,,,,,,,,,
,,<=14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85-94,Total
C00,LIP,0,0,0,0,1,1,0,0,0,2
C01.9,Base of the tongue,0,0,0,0,2,0,0,0,0,2
C02.9,Tongue,0,2,0,14,33,26,19,4,0,98
C03.9,Gum,0,0,0,1,2,4,2,0,0,9
C04.9,Floor of the mouth,0,0,1,3,5,4,2,0,0,15
C05.0,Hard palate,0,0,0,1,0,1,1,0,0,3
C05.1,Soft palate,0,0,3,4,5,2,0,1,0,15
C05.2,Uvula,0,0,2,1,2,0,0,2,0,7
C05.9,Palate,0,0,4,1,2,0,2,2,0,11
C06.0,Cheek /buccal mucosa,1,0,5,28,77,63,37,8,2,221
C06.1,Vestibule of mouth,0,0,0,0,0,2,0,0,0,2
C06.9,Oral cavity/Buccal cavity,0,0,0,0,6,13,9,0,0,28
C07.9,Parotid Gland,0,4,4,8,4,2,0,1,0,23
C08.0,Sub mandibular/maxillary gland,0,0,3,3,16,17,3,0,1,43
C09.0,Tonsillar fossa,0,0,0,0,1,1,0,0,0,2
C09.9,Tonsil,1,0,1,2,3,4,1,0,0,12
C10.0,Valecula,0,0,0,1,0,2,1,0,0,4
C10.4,Branchial cleft,0,1,0,1,1,10,0,0,0,13
C10.9,Oropharynx,0,0,0,0,0,0,1,0,0,1
C11.9,Nasopharynx,2,1,0,1,3,3,0,0,0,10
C12.9,Pyriformsinus/fossa,1,2,1,2,7,8,2,0,1,24
C13.0,Cricoid,1,0,0,0,0,0,0,0,0,1
C13.1,Aryepiglotic fold,0,0,0,0,1,0,1,0,0,2
C14.0,Pharynx,0,1,1,0,2,0,3,2,0,9
C15.0,Cervical oesophagus,0,0,1,8,10,5,2,1,0,27
C15.9,Oesophagus,0,2,4,20,45,70,50,6,2,199
C16.3,Gastric antrum,0,0,0,0,4,1,0,1,0,6
C16.9,Stomach,0,1,20,26,57,34,30,5,0,173
C17.0,Duodenum,0,0,0,1,1,0,0,0,0,2
C17.2,Ileum,0,1,1,2,1,2,4,0,0,11
C18.0,Cecum,0,0,1,2,3,4,2,0,0,12
C18.3,Hepatic flexure,0,1,0,0,4,1,0,0,0,6
C18.7,Sigmoid colon,0,1,0,0,0,1,0,0,0,2
