0,1,2,3
Variables,"Male (%)
(n=5983)","Female (%)
(n=5032)","Total (%)
(n=11015)"
Religion,,,
Islam,5597 (93.5),4709 (93.6),10306 (93.6)
Hinduism,366 (6.1),302 (6.0),668 (6.1)
Christianity,10 (0.2),16 (0.3),26 (0.2)
Buddhism,10 (0.2),5 (0.1),15 (0.1)
Marital status,,,
Never married,322 (5.4),173 (3.4),495 (4.5)
Married,5654 (94.5),4442 (88.3),10096 (91.7)
Widowed,2 (0.0),400 (7.9),402 (3.6)
Divorced,5 (0.1),17 (0.36),22 (0.2)
Education,,,
Not applicable,51 (0.9),24 (0.5),75 (0.7)
Illiterate,2087 (34.9),2560 (50.9),4647 (42.2)
Primary,2683 (44.8),1724 (34.3),4407 (40.0)
Secondary,581 (9.7),389 (7.7),970 (8.8)
Higher secondary,286 (4.8),152 (3.0),438 (4.0)
Graduate & above,295 (4.9),183 (3.6),478 (4.3)
Occupation,,,
Not applicable,47 (0.8),22 (0.4),69 (0.6)
Service,740 (12.4),125 (2.5),865 (7.9)
Business,799 (13.4),3 (0.1),802 (7.3)
Agriculture,3622 (60.5),20 (0.4),3642 (33.1)
Day labourer,179 (3.0),0 (0.0),179 (1.6)
House wife,-,4742 (94.2),4742 (43.1)
Retired/ aged,251 (4.2),14 (0.3),265 (2.4)
Industrial worker,62 (1.0),0 (0.0),62 (0.6)
Student,246 (4.1),132 (2.6),378 (3.4)
Others,8 (0.1),3 (0.1),11 (0.1)
