0,1,2,3
Primary site of tumour,Sex,,Total
,Male,Female,
LIP,11 (1.2),2 (0.4),13 (0.9)
Base of the tongue,8 (0.9),2 (0.4),10 (0.7)
Tongue,160 (17.5),98 (17.6),258 (17.6)
Gum,6 (0.7),9 (1.6),15 (1.0)
Floor of the mouth,18 (2.0),15 (2.7),33 (2.2)
Hard palate,7 (0.8),3 (0.5),10 (0.7)
Soft palate,27 (3.0),15 (2.7),42 (2.9)
Uvula,0 (0.0),7 (1.3),7 (0.5)
Palate,7 (0.8),11 (2.0),18 (1.2)
Cheek /buccal mucosa,174 (19.0),221 (39.7),395 (26.9)
Vestibule of mouth,0 (0.0),2 (0.4),2 (0.1)
Oral cavity/Buccal cavity,30 (3.3),28 (5.0),58 (3.9)
Parotid Gland,27 (3.0),23 (4.1),50 (3.4)
Sub mandibular/maxillary gland,58 (6.3),42 (7.6),100 (6.8)
Tonsillar fossa,8 (0.9),2 (0.4),10 (0.7)
Tonsil,94 (10.3),12 (2.2),106 (7.2)
Valecula,5 (0.5),4 (0.7),9 (0.6)
Branchial cleft,59 (6.5),13 (2.3),72 (4.9)
Oropharynx,3 (0.3),1 (0.2),4 (0.3)
Nasopharynx,29 (3.2),10 (1.8),39 (2.7)
Pyriformsinus/fossa,144 (15.8),24 (4.3),168 (11.4)
Cricoid,4 (0.4),1 (0.2),5 (0.3)
Aryepiglotic fold,10 (1.1),2 (0.4),12 (0.8)
Hypopharynx,3 (0.3),0 (0.0),3 (0.2)
Pharynx,21 (2.3),9 (1.6),30 (2.0)
Laryngopharynx,1 (0.1),0 (0.0),1 (0.1)
Total,914 (100.0),556 (100.0),1470 (100.0)
