0,1,2,3
Primary site of tumour,Sex,,Total
,Male,Female,
LIP,7 (1.0),6 (1.6),13 (1.3)
Base of the tongue,6 (0.9),1 (0.3),7 (0.7)
Tongue,136 (20.3),59 (16.0),195 (18.8)
Gum,8 (1.2),4 (1.1),12 (1.2)
Floor of the mouth,9 (1.3),9 (2.4),18 (1.7)
Hard palate,8 (1.2),8 (2.2),16 (1.5)
Soft palate,2 (0.3),1 (0.3),3 (0.3)
Uvula,2 (0.3),1 (0.3),3 (0.3)
Palate,16 (2.4),10 (2.7),26 (2.5)
Cheek /buccal mucosa,99 (14.8),133 (36.1),232 (22.4)
Oral cavity/Buccal cavity,27 (4.0),25 (6.8),52 (5.0)
Parotid Gland,34 (5.1),20 (5.4),54 (5.2)
Sub mandibular/maxillary gland,55 (8.2),31 (8.4),86 (8.3)
Sub lingual gland,1 (0.1),1 (0.3),2 (0.2)
Tonsillar fossa,12 (1.8),1 (0.3),13 (1.3)
Tonsil,60 (9.0),21 (5.7),81 (7.8)
Valecula,2 (0.3),2 (0.5),4 (0.4)
Branchial cleft,20 (3.0),3 (0.8),23 (2.2)
Oropharynx,4 (0.6),4 (1.1),8 (0.8)
Nasopharynx,21 (3.1),7 (1.9),28 (2.7)
Pyriformsinus/fossa,105 (15.7),11 (3.0),116 (11.2)
Cricoid,2 (0.3),0 (0.0),2 (0.2)
Aryepiglotic fold,9 (1.3),1 (0.3),10 (1.0)
Hypopharynx,2 (0.3),4 (1.1),6 (0.6)
Pharynx,20 (3.0),5 (1.4),25 (2.4)
Laryngopharynx,2 (0.3),0 (0.0),2 (0.2)
Total,669 (100.0),368 (100.0),1037 (100.0)
