0,1,2,3,4,5,6,7,8
Table 17: Projection of the supply of SACMOs according to scenarios 3-4 (+10%),,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate 4%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,14081,164600000,0.86
2019,3787,,3598,14081,563,17115,,
2020,3251,,3088,17115,685,19519,,
2021,3549,,3372,19519,781,22110,,
2022,3617,10%,3436,22110,884,24662,,
2023,3617,,3436,24662,986,27111,,
2024,3617,,3436,27111,1084,29463,174612904,1.69
2025,3617,,3436,29463,1179,31721,,
2026,3617,,3436,31721,1269,33888,,
2027,3617,,3436,33888,1356,35969,,
2028,3617,,3436,35969,1439,37966,,
2029,3617,,3436,37966,1519,39883,,
2030,3617,,3436,39883,1595,41724,190686952,2.19
