0,1,2,3,4,5,6,7,8
Table 14: Projection of the supply of SACMOs according to scenario 2 (+10%),,,,,,,"Total
population in
BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply
of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,80%,,,,,
2018,,,,,,14081,164600000,0.86
2019,3787,,3030,14081,563,16547,,
2020,3251,,2601,16547,662,18486,,
2021,3549,,2839,18486,739,20586,,
2022,3617,10%,2893,20586,823,22656,,
2023,3617,,2894,22656,906,24643,,
2024,3617,,2894,24643,986,26551,174612904,1.52
2025,3617,,2894,26551,1062,28383,,
2026,3617,,2894,28383,1135,30141,,
2027,3617,,2894,30141,1206,31829,,
2028,3617,,2894,31829,1273,33449,,
2029,3617,,2894,33449,1338,35005,,
2030,3617,,2894,35005,1400,36498,190686952,1.91
