0,1,2,3,4,5,6,7,8
"Table 71: Projection of the supply of Medical Technologists- Operation Theater (OT)
Assistance according to scenarios 3-4 (+10%)",,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Densi-
ty per
10000"
Year,New registrations,,,"Supply of
previous year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,165,164600000,0.01
2019,51,,48,165,7,207,,
2020,65,,62,207,8,260,,
2021,191,,181,260,10,431,,
2022,121,,115,431,17,529,,
2023,121,,115,529,21,623,,
2024,133,10%,126,623,25,724,174612904,0.04
2025,133,,126,724,29,822,,
2026,133,,126,822,33,915,,
2027,133,,126,915,37,1005,,
2028,133,,126,1005,40,1091,,
2029,133,,126,1091,44,1174,,
2030,133,,126,1174,47,1254,190686952,0.07
Source: BBS Pop Projection 2011-2061,,,,,,,,
