0,1,2,3,4,5,6,7,8
"Table 79: Projection of the supply of Medical Technologist - Prosthetics and Orthot-
ics according to scenario 1",,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,80%,,,,,
2018,,,,,,23,164600000,0.001
2019,9,,7,23,1,29,,
2020,7,,6,29,1,34,,
2021,9,,7,34,1,40,,
2022,9,,7,40,2,45,,
2023,8,,6,45,2,50,,
2024,8,,6,50,2,54,174612904,0.003
2025,8,,6,54,2,58,,
2026,8,,6,58,2,62,,
2027,8,,6,62,2,66,,
2028,8,,6,66,3,70,,
2029,8,,6,70,3,74,,
2030,8,,6,74,3,77,190686952,0.004
Source: BBS Pop Projection 2011-2061,,,,,,,,
