0,1,2,3,4,5,6,7,8
Table 11: Projection of the supply of dentists according to scenarios 3-4 (+10%),,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply
of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,9608,164600000,0.58
2019,924,,878,9608,384,10101,,
2020,963,,915,10101,404,10612,,
2021,1195,,1135,10612,424,11323,,
2022,908,,863,11323,453,11733,,
2023,1046,,994,11733,469,12257,,
2024,1228,10%,1166,12257,490,12933,174612904,0.74
2025,1228,,1167,12933,517,13582,,
2026,1228,,1167,13582,543,14206,,
2027,1228,,1167,14206,568,14804,,
2028,1228,,1167,14804,592,15378,,
2029,1228,,1167,15378,615,15930,,
2030,1228,,1167,15930,637,16459,190686952,0.86
