0,1,2,3,4,5,6,7,8
"Table 51: Projection of the supply of Medical Technologists- Radiography & Imaging
according to scenario 2 (+20%)",,,,,,,"Total pop-
ulation in
BD
(2018, 2024
& 2030)","Density
per
10000"
Year,New registrations,,,"Supply of
previous year","Attrition
rate",Total Supply,,
,"Gradu-
ates",Increase,80%,,4%,,,
2018,,,,,,3435,164600000,0.21
2019,354,,283,3435,137,3581,,
2020,373,,298,3581,143,3736,,
2021,399,,319,3736,149,3906,,
2022,399,,319,3906,156,4069,,
2023,399,,319,4069,163,4225,,
2024,479,20%,383,4225,169,4439,174612904,0.25
2025,479,,383,4439,178,4645,,
2026,479,,383,4645,186,4842,,
2027,479,,383,4842,194,5031,,
2028,479,,383,5031,201,5213,,
2029,479,,383,5213,209,5388,,
2030,479,,383,5388,216,5555,190686952,0.29
Source: BBS Pop Projection 2011-2061,,,,,,,,
