0,1,2,3,4,5,6,7,8
Table 8: Projection of the supply ofdentistsaccording to scenario 2 (+10%),,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density
per
10000"
Year,New registrations,,,"Supply
of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,80%,,,,,
2018,,,,,,9608,164600000,0.58
2019,924,,739,9608,384,9963,,
2020,963,,770,9963,399,10335,,
2021,1195,,956,10335,413,10877,,
2022,908,,726,10877,435,11169,,
2023,1046,,837,11169,447,11559,,
2024,1228,10%,982,11559,462,12078,174612904,0.69
2025,1228,,982,12078,483,12578,,
2026,1228,,982,12578,503,13057,,
2027,1228,,982,13057,522,13517,,
2028,1228,,982,13517,541,13959,,
2029,1228,,982,13959,558,14383,,
2030,1228,,982,14383,575,14790,190686952,0.78
