0,1,2,3,4,5,6,7,8
Table 10: Projection of the supply of dentists according to scenarios 3-4,,,,,,,"Total pop-
ulation in
BD
(2018, 2024
& 2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%",Total Supply,,
,Graduates,Increase,95%,,,,,
2018,,,,,,9608,164600000,0.58
2019,924,,878,9608,384,10101,,
2020,963,,915,10101,404,10612,,
2021,1195,,1135,10612,424,11323,,
2022,908,,863,11323,453,11733,,
2023,1046,,994,11733,469,12257,,
2024,1116,,1060,12257,490,12827,174612904,0.73
2025,1116,,1060,12827,513,13374,,
2026,1116,,1060,13374,535,13899,,
2027,1116,,1060,13899,556,14404,,
2028,1116,,1060,14404,576,14888,,
2029,1116,,1060,14888,596,15352,,
2030,1116,,1060,15352,614,15798,190686952,0.83
,,,,,,Source: BBS Pop Projection 2011-2061,,
