0,1,2,3,4,5,6,7,8
Table 35: Projection of the supply of midwifes according to scenarios 3-4 (+10%),,,,,,,"Total
population
in BD
(2018, 2024
& 2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,2131,164600000,0.13
2019,1068,,1015,2131,85,3060,,
2020,1416,,1345,3060,122,4283,,
2021,1441,,1369,4283,171,5481,,
2022,3255,10%,3092,5481,219,8354,,
2023,3255,,3092,8354,334,11112,,
2024,3255,,3092,11112,444,13759,174612904,0.79
2025,3255,,3092,13759,550,16301,,
2026,3255,,3092,16301,652,18741,,
2027,3255,,3092,18741,750,21084,,
2028,3255,,3092,21084,843,23333,,
2029,3255,,3092,23333,933,25491,,
2030,3255,,3092,25491,1020,27564,190686952,1.45
