0,1,2,3,4,5,6,7,8
"Table 64: Projection of the supply of Medical Technologists- Dentistry according to
scenarios 3-4",,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of pre-
vious year","Attrition
rate
4%","Total
Supply",,
,"Gradu-
ates","In-
crease",95%,,,,,
2018,,,,,,4118,164600000,0.25
2019,287,,273,4118,165,4226,,
2020,336,,319,4226,169,4376,,
2021,344,,327,4376,175,4528,,
2022,340,,323,4528,181,4670,,
2023,332,,315,4670,187,4798,,
2024,332,,315,4798,192,4922,174612904,0.28
2025,332,,315,4922,197,5040,,
2026,332,,315,5040,202,5154,,
2027,332,,315,5154,206,5263,,
2028,332,,315,5263,211,5368,,
2029,332,,315,5368,215,5469,,
2030,332,,315,5469,219,5566,190686952,0.29
Source: BBS Pop Projection 2011-2061,,,,,,,,
