0,1,2,3,4,5,6,7,8
"Table 88: Projection of the supply of Medical Technologists - Pharmacists (Category
B) according to scenario 3-4",,,,,,,"Total popu-
lation in BD
(2018, 2024
& 2030)","Density per
10000"
Year,New registrations,,,"Supply of pre-
vious year","Attrition
rate
1%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,14454,164600000,0.88
2019,311,,295,14454,145,14605,,
2020,311,,295,14605,146,14754,,
2021,311,,295,14754,148,14902,,
2022,311,,295,14902,149,15049,,
2023,311,,295,15049,150,15194,,
2024,311,,295,15194,152,15337,174612904,0.88
2025,311,,295,15337,153,15479,,
2026,311,,295,15479,155,15620,,
2027,311,,295,15620,156,15759,,
2028,311,,295,15759,158,15897,,
2029,311,,295,15897,159,16033,,
2030,311,,295,16033,160,16169,190686952,0.85
Source: BBS Pop Projection 2011-2061,,,,,,,,
