0,1,2,3,4,5,6,7,8
Table 15: Projection of the supply of SACMOs according to scenario 2 (+20%),,,,,,,"Total
population in
BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,80%,,,,,
2018,,,,,,14081,164600000,0.86
2019,3787,,3030,14081,563,16547,,
2020,3251,,2601,16547,662,18486,,
2021,3549,,2839,18486,739,20586,,
2022,3946,20%,3156,20586,823,22919,,
2023,3946,,3157,22919,917,25159,,
2024,3946,,3157,25159,1006,27310,174612904,1.56
2025,3946,,3157,27310,1092,29374,,
2026,3946,,3157,29374,1175,31356,,
2027,3946,,3157,31356,1254,33258,,
2028,3946,,3157,33258,1330,35085,,
2029,3946,,3157,35085,1403,36838,,
2030,3946,,3157,36838,1474,38522,190686952,2.02
