0,1,2,3,4,5,6,7,8
"Table 78: Projection of the supply of Medical Technologists- Intensive Care (IC)
Assistance according to scenarios 3-4 (+20%)",,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of previ-
ous year","Attrition
rate","Total
Supply",,
,Graduates,Increase,95%,,4%,,,
2018,,,,,,60,164600000,0.00
2019,32,,30,60,2,88,,
2020,125,,119,88,4,203,,
2021,128,,122,203,8,317,,
2022,70,,67,317,13,371,,
2023,70,,67,371,15,422,,
2024,84,20%,80,422,17,485,174612904,0.03
2025,84,,80,485,19,546,,
2026,84,,80,546,22,603,,
2027,84,,80,603,24,659,,
2028,84,,80,659,26,713,,
2029,84,,80,713,29,764,,
2030,84,,80,764,31,813,190686952,0.04
Source: BBS Pop Projection 2011-2061,,,,,,,,
