0,1,2,3,4,5,6,7,8
Table 5: Projection of the supply of doctors according to scenarios 3-4 (+10%),,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,76867,164600000,4.67
2019,9390,,8921,76867,3075,82713,,
2020,8782,,8343,82713,3309,87747,,
2021,9310,,8845,87747,3510,93082,,
2022,9256,,8793,93082,3723,98152,,
2023,9311,,8845,98152,3926,103071,,
2024,10289,10%,9775,103071,4123,108723,174612904,6.23
2025,10289,,9775,108723,4349,114149,,
2026,10289,,9775,114149,4566,119357,,
2027,10289,,9775,119357,4774,124358,,
2028,10289,,9775,124358,4974,129158,,
2029,10289,,9775,129158,5166,133766,,
2030,10289,,9775,133766,5351,138190,190686952,7.25
