0,1,2,3,4,5,6,7,8
Table 9: Projection of the supply of dentists according to scenario 2 (+20%),,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply
of previ-
ous year","Attri-
tion rate
4%",Total Supply,,
,"Gradu-
ates","In-
crease",80%,,,,,
2018,,,,,,9608,164600000,0.58
2019,924,,739,9608,384,9963,,
2020,963,,770,9963,399,10335,,
2021,1195,,956,10335,413,10877,,
2022,908,,726,10877,435,11169,,
2023,1046,,837,11169,447,11559,,
2024,1339,20%,1071,11559,462,12168,174612904,0.70
2025,1339,,1071,12168,487,12752,,
2026,1339,,1071,12752,510,13313,,
2027,1339,,1071,13313,533,13852,,
2028,1339,,1071,13852,554,14369,,
2029,1339,,1071,14369,575,14866,,
2030,1339,,1071,14866,595,15342,190686952,0.80
,,,,,,Source: BBS Pop Projection 2011-2061,,
