0,1,2,3,4,5,6,7,8
"Table 53: Projection of the supply of Medical Technologists- Radiography
& Imaging according to scenarios 3-4 (+10%)",,,,,,,"Total population in
BD
(2018, 2024 & 2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%",Total Supply,,
,"Gradu-
ates",Increase,95%,,,,,
2018,,,,,,3435,164600000,0.21
2019,354,,336,3435,137,3634,,
2020,373,,354,3634,145,3843,,
2021,399,,379,3843,154,4068,,
2022,399,,379,4068,163,4285,,
2023,399,,379,4285,171,4492,,
2024,439,10%,417,4492,180,4729,174612904,0.27
2025,439,,417,4729,189,4957,,
2026,439,,417,4957,198,5176,,
2027,439,,417,5176,207,5386,,
2028,439,,417,5386,215,5587,,
2029,439,,417,5587,223,5781,,
2030,439,,417,5781,231,5967,190686952,0.31
Source: BBS Pop Projection 2011-2061,,,,,,,,
