0,1,2,3,4,5,6,7,8,9
"Table 42: Projection of the supply of Medical Technologists-LAB according to scenarios
3-4 (+20%)",,,,,,,,"Total popula-
tion in BD
(2018, 2024
& 2030)","Densi-
ty per
10000"
Year,New registrations,,,"Supply of
previous year","Attrition
rate
4%",,"Total
Supply",,
,"Gradu-
ates","In-
crease",95%,,,,,,
2018,,,,,,12744,,164600000,0.77
2019,671,,637,12744,510,12872,,,
2020,770,,732,12872,515,13088,,,
2021,795,,755,13088,524,13320,,,
2022,707,,672,13320,533,13459,,,
2023,853,,810,13459,538,13731,,,
2024,1024,20%,972,13731,549,14154,,174612904,0.81
2025,1024,,972,14154,566,14560,,,
2026,1024,,972,14560,582,14950,,,
2027,1024,,972,14950,598,15325,,,
2028,1024,,972,15325,613,15684,,,
2029,1024,,972,15684,627,16029,,,
2030,1024,,972,16029,641,16360,,190686952,0.86
Source: BBS Pop Projection 2011-2061,,,,,,,,,
