0,1,2,3,4,5,6,7,8
Table 32: Projection of the supply of midwifes according to scenario 2 (+10%),,,,,,,"Total population in
BD
(2018, 2024 & 2030)","Density
per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,80%,,,,,
2018,,,,,,2131,164600000,0.13
2019,1068,,854,2131,85,2900,,
2020,1416,,1133,2900,116,3917,,
2021,1441,,1153,3917,157,4913,,
2022,3255,10%,2604,4913,197,7320,,
2023,3255,,2604,7320,293,9632,,
2024,3255,,2604,9632,385,11850,174612904,0.68
2025,3255,,2604,11850,474,13980,,
2026,3255,,2604,13980,559,16025,,
2027,3255,,2604,16025,641,17988,,
2028,3255,,2604,17988,720,19872,,
2029,3255,,2604,19872,795,21681,,
2030,3255,,2604,21681,867,23418,190686952,1.23
