0,1,2,3,4,5,6,7,8,9,10,11
"Table 12. Screening report for blood with TTIs, 2001–2015",,,,,,,,,,,
Year,"No. of
units
tested",HIV,,Hepatitis B,,Hepatitis C,,Syphilis,,"Malarial
parasites",
,,No.,%,No.,%,No.,%,No.,%,No.,%
2001,"99,653",2,0.002,"1,381",1.386,82,0.082,290,0.291,7,0.007
2002,"170,948",4,0.002,"2,433",1.423,246,0.144,655,0.383,53,0.031
2003,"180,015",1,0.001,"1,900",1.055,"1,024",0.569,428,0.238,13,0.007
2004,"121,993",36,0.030,"1,284",1.053,251,0.206,257,0.211,8,0.007
2005,"203,575",8,0.004,"1,689",0.830,201,0.099,305,0.150,6,0.003
2006,"228,127",20,0.009,"1,814",0.795,242,0.106,209,0.092,1,0.0004
2007,"324,005",27,0.008,"2,764",0.853,251,0.077,215,0.066,"1,013",0.313
2008,"369,026",13,0.004,"2,996",0.812,309,0.084,143,0.039,4,0.001
2009,"358,067",9,0.003,"2,135",0.596,181,0.051,115,0.032,7,0.002
2010,"384,447",6,0.002,"3,313",0.862,374,0.097,182,0.047,37,0.010
2011,"415,372",21,0.005,"4,356",1.049,272,0.065,179,0.043,39,0.009
2012,"541,682",56,0.010,"5,052",0.933,676,0.125,399,0.074,58,0.011
2013,"593,774",37,0.006,"5,184",0.873,597,0.101,573,0.097,98,0.017
2014,"651,718",74,0.011,"5,529",0.848,462,0.071,754,0.116,48,0.007
2015,"679,681",46,0.007,"5,428",0.799,752,0.111,605,0.089,72,0.011
Total,"5,322,083",360,0.01,"47,258",0.89,"5,920",0.11,"5,309",0.10,"1,464",0.03
