0,1,2
Table 7.2. Age and sex distribution of the admitted patients in public hospitals in 2015,,
Age/sex category,Number,Percentage of total
Male children aged 5 years or less,"639,943",11.20
Male aged more than 5 years,"2,059,301",36.05
Female children aged 5 years or less,"624,193",10.93
Female aged more than 5 years,"2,388,204",41.81
Total male (all ages),"2,699,244",47.26
Total female (all ages),"3,012,397",52.74
Total children aged 5 years or less,"1,264,136",22.13
Total patients aged more than 5 years,"4,447,505",77.87
Grand total,"5,711,641",100
