0,1,2,3,4,5,6,7,8
Name of institution,MS,MD,M. Phil,Diploma,MPH,MTM,MMED,Total
Autonomous (No. of institutions: 1),,,,,,,,
"Bangabandhu Sheikh Mujib Medical University, Dhaka",140,150,70,106,0,10,0,476
Total,140,150,70,106,0,10,0,476
Government (No. of institutions: 22),,,,,,,,
"Centre for Medical Education (CME), Dhaka",0,0,0,0,0,0,15,15
Chittagong Medical College,37,48,29,48,03,0,0,165
Dhaka Dental College,22,0,0,0,0,0,0,22
Dhaka Medical College,70,110,86,82,06,0,0,354
"Institute of Child & Mother Health (ICMH), Dhaka",10,10,0,30,0,0,0,50
"Institute of Nuclear Medicine and Ultrasound, Dhaka",0,0,0,10,0,0,0,10
Mymensingh Medical College,22,40,33,59,0,0,0,154
National Institute of Cancer Research and Hospital Dhaka,06,12,0,0,0,0,0,18
"National Institute of Cardiovascular Diseases (NICVD), Dhaka",20,20,0,14,0,0,0,54
"National Institute of Chest Diseases and Hospital (NIDCH),
Dhaka",06,15,0,20,0,0,0,41
"National Institute of Child Health, Dhaka",10,15,0,15,0,0,0,40
"National Institute of Kidney Diseases and Urology, Dhaka",06,09,0,0,0,0,0,15
"National Institute of Mental Health, Dhaka",0,06,0,0,0,0,0,06
"National Institute of Ophthalmology, Dhaka",10,0,0,10,0,0,0,20
"National Institute of Preventive and Social Medicine, Dhaka",0,0,07,0,166,0,0,173
"National Institute of Traumatology and Orthopedic
Rehabilitation, Dhaka",30,0,0,15,0,0,0,45
Rajshahi Medical College,10,19,25,41,05,0,0,100
Rangpur Medical College,08,08,08,22,0,0,0,46
"Shaheed Ziaur Rahman Medical College, Bogra",0,0,0,10,0,0,0,10
"Sher-e-Bangla Medical College, Barisal",04,0,08,22,0,0,0,34
"Sir Salimullah Medical College, Dhaka",21,36,18,40,05,0,0,120
"MAG Osmani Medical College, Sylhet",20,12,28,40,0,0,0,100
Total,312,360,242,478,185,0,15,1592
Private (No. of institutions: 10),,,,,,,,
"Bangladesh College of Physicians and Surgeons, Mohakhali,
Dhaka*",-,-,-,-,-,-,-,-
"Bangladesh Institute of Research and Rehabilitation in
Diabetes, Endocrine and Metabolic Disorders (BIRDEM),
Shahbag, Dhaka",10,22,15,14,0,0,0,61
"Chittagong Maa O Shishu & General Hospital. Agrabad,
Chittagong",0,0,0,06,0,0,0,06
"Institute of Child Health and Shishu (Children) Hospital,
ShishuShasthya Foundation, Bangladesh , Mirpur 2, Dhaka",0,0,0,06,0,0,0,06
"Institute of Community Ophthalmology, Chittagong",0,0,0,08,0,0,0,08
"Institute of Health Sciences (under USTC), Foy’s Lake,
Chittagong",0,05,0,45,0,0,0,50
"Lions Eye Institute and Hospital, Lions Bhaban, Rokeya Sarani,
Agargaon, Dhaka",0,0,0,06,0,0,0,06
"Mirza Ahmed Ispahani Institute of Ophthalmology and Islamia
Hospital, Sher-e-Bangla Nagar, Dhaka",0,0,0,10,0,0,0,10
"National Heart Foundation, Mirpur 2, Dhaka",05,05,0,0,0,0,0,10
"United Hospital Ltd. Gulshan 2, Dhaka",06,06,0,0,0,0,0,12
Total,21,38,15,95,0,0,0,169
Grand total (No. of institutions: 33),,,,,,,,
Grand total (no. of seats),473,548,327,679,185,25,,"2,237"
*Offers FCPS and MCPS courses. Number of seats are not fixed and not included in this count,,,,,,,,
