0,1,2
Division,Name of institution,No. of seats
Nursing institutions attached with medical college hospitals,,
Chittagong,"Nursing institutions attached with Comilla Medical College Hospital, Comilla",80
,Nursing institutions attached with Noakhali Medical College Hospital,80
Dhaka,"Nursing institutions attached with Faridpur Medical College Hospital, Faridpur",80
,"Nursing institutions attached with SSMC Hospital, Mitford, Dhaka",80
Khulna,Nursing institutions attached with Khulna Medical College,80
Rangpur,Nursing institutions attached with Dinajpur Medical College,80
Total,,480
Nursing institutions attached with general hospitals,,
Barisal,Nursing institutions attached with Patuakhali General Hospital,80
Chittagong,Nursing institutions attached with Rangamati General Hospital,80
Dhaka,Nursing institutions attached with Tangail General Hospital,80
Khulna,Nursing institutions attached with Jessore General Hospital,80
,Nursing institutions attached with Kushtia General Hospital,80
Rajshahi,"Nursing institutions attached with Mohammad Ali Hospital, Bogra",80
,Nursing Institutions attached with Pabna General Hospital,80
,Nursing institutions attached with Sirajganj General Hospital,50
Total,,610
Nursing institutions attached with district hospitals,,
Barisal,Nursing institutions attached with Bhola District Hospital,50
,Nursing institutions attached with Pirojpuri District Hospital,50
,Nursing institutions attached with Barguna District Hospital,50
Chittagong,Nursing institutions attached with Brahmanbaria District Hospital,70
,Nursing institutions attached with Cox’s Bazar District Hospital,50
,Nursing institutions attached with Feni District Hospital,50
,Nursing institutions attached with Chandpur District Hospital,50
Dhaka,Nursing institutions attached with Munshiganj District Hospital,50
,Nursing institutions attached with Netrakona District Hospital,50
,Nursing institutions attached with Rajbari District Hospital,50
,Nursing institutions attached with Gopalganj District Hospital,50
,Nursing institutions attached with Madaripur District Hospital,50
,Nursing institutions attached with Jamalpur District Hospital,50
,Nursing institutions attached with Kishoreganj District Hospital,50
,Nursing institutions attached with Sherpur District Hospital,50
Khulna,Nursing institutions attached with Bagerhat District Hospital,50
,Nursing institutions attached with Chuadanga District Hospital,50
,Nursing institutions attached with Magura District Hospital,50
,Nursing institutions attached with Satkhira District Hospital,50
,Nursing institutions attached with Jhenaidah District Hospital,50
