0,1,2
"Table 5.1. Secondary and tertiary hospitals/health centers under the DGHS, with the numbers of
functional beds (as of June 2016)",,
Hospitals,,
Type,No. of facilities,No. of functional beds
50-bed hospital,2,100
Chest disease hospital,13,866
Dental college hospital,1,200
District and general hospital,65,"10,328"
Hospital of alternative medicine,2,200
Infectious disease hospital,5,180
Leprosy hospital,3,130
Medical college hospital,14,"12,963"
Other hospitals,4,325
Specialized hospital,3,850
Specialty postgraduate institute and hospital,11,"3,184"
Trauma center,5,100
Total (hospitals),128,"29,426"
Other facilities (Specialized health centers),,
Name,No. of facilities,No. of functional beds
Chittagong Skin & Hygiene Treatment Center,1,Not applicable
National Asthma Center,1,Not applicable
"National Center For Control of Rheumatic Fever
& Heart Disease",1,Not applicable
Total hospitals and other facilities,131,"29,426"
