0,1,2,3,4,5,6,7,8,9
Division,Class,,Sanctioned,Filled-up,,,,Vacant,
,,,,Male,Female,Total,"Filled-up
as % of
sanctioned
posts",No.,"Vacant
as % of
sanctioned
posts"
Sylhet,Class I,Doctors,1413,945,308,1253,89,160,11
,,Non-doctors,22,3,0,3,14,19,86
,Class II,,1263,76,906,982,78,281,22
,Class III,,3623,2183,674,2857,79,766,21
,Class IV,,1809,1055,420,1475,82,334,18
,Total,,8130,4262,2308,6570,81,1560,19
Grand total,,,126727,65070,41092,106162,84,20565,16
All divisions,Class I,Doctors,22632,15387,6453,21440,92,1796,8
,,Non-doctors,525,142,46,188,36,337,64
,Class II,,20883,1329,16886,18215,87,2668,13
,Class III,,52755,31876,11773,43649,83,9106,17
,Class IV,,28928,16336,5934,22270,77,6658,23
,Total,,126727,65070,41092,106162,84,20565,16
