0,1
Table 4.7. Total number of colposcopy tests done in 2015 at different institutions,
Name of institution,Number (%) of colposcopy tests
Bangabandhu Sheikh Mujib Medical University,"2,860 (25.00)"
Rajshahi Medical College Hospital,"1,442 (12.80)"
Chittagong Medical College Hospital,1438 (12.80)
Khulna Medical College Hospital,653 (5.80)
"Sher-e-Bangla Medical College Hospital, Barisal",518 (4.60)
Faridpur Medical College Hospital,470 (4.10)
"MAG Osmani Medical College Hospital, Sylhet",440 (4.00)
Mymensingh Medical College Hospital,388 (3.40)
Dhaka Medical College Hospital,365 (3.50)
Dinajpur Medical College Hospital,322 (2.80)
Comilla Medical College Hospital,247 (2.20)
Rangpur Medical College Hospital,224 (2.00)
Shaheed Suhwardy Medical College Hospital,150 (1.30)
Sir Salimullah Medical College & Mitford Hospital,135 (1.20)
Shaheed Ziaur Rahman Medical College Hospital,43 (0.40)
Failure to attend,"1,544 (14.00)"
Total,"11,239 (100)"
