0,1,2,3,4,5,6,7,8,9
"Table 18.3. THE, GDP, and annual growth rates, 1997-2012",,,,,,,,,
Year,"Total health
expenditure
(THE)",,GDP,,Per-capita,,,,"Ratio
of THE
to PPP
(%)"
,"Amount
(Taka in
million)","Nominal
growth
rate (%)","Amount
(Taka in
million)","Nominal
growth
rate (%)",GDP,THE,,,
,,,,,Taka,,US$,PPP $,
1997,"46,356",,"1,807,013",,"14,767",379,$9,$19,2.60
1998,"51,101",10.20,"2,001,766",10.80,"16,039",409,$9,$20,2.60
1999,"56,529",10.60,"2,196,972",9.80,"17,270",444,$9,$21,2.60
2000,"62,474",10.50,"2,370,856",7.90,"18,519",488,$10,$23,2.60
2001,"71,959",15.20,"2,535,464",6.90,"19,452",552,$10,$26,2.80
2002,"81,488",13.20,"2,732,010",7.80,"20,760",619,$11,$29,3.00
2003,"87,429",7.30,"3,005,801",10.00,"22,532",655,$11,$30,2.90
2004,"100,251",14.70,"3,329,731",10.80,"24,628",741,$13,$33,3.00
2005,"114,338",14.10,"3,707,070",11.30,"27,059",835,$14,$36,3.10
2006,"134,873",18.00,"4,157,279",12.10,"29,952",972,$14,$41,3.20
2007,"153,887",14.10,"4,724,769",13.70,"33,604","1,095",$16,$44,3.30
2008,"178,943",16.30,"5,458,224",15.50,"38,330","1,257",$18,$49,3.30
2009,"205,120",14.60,"6,147,952",12.60,"42,635","1,422",$21,$52,3.30
2010,"244,331",19.10,"6,943,243",12.90,"47,524","1,672",$24,$58,3.50
2011,"289,017",18.30,"7,967,040",14.70,"53,220","1,931",$25,$64,3.60
2012,"325,094",12.50,"9,181,414",15.20,"60,563","2,144",$27,$68,3.50
"Source: Summary Bangladesh National Health Accounts 1997-2012, BHNA Cell, Health Economics Unit, MOHFW",,,,,,,,,
