0,1,2
Table 8.1. Type and number of public hospitals reporting indoor mortality data for 2015,,
"Level of
care",Type of facility,No.
Primary,10-bed hospitals,17
,20-bed hospitals,26
,Trauma centers,5
,Upazila health complexes (UHC),421
,Subtotal: Primary,469
Secondary,District hospitals/General hospitals,65
,Subtotal: Secondary,65
Tertiary,"Bangladesh Institute of Tropical and Infectious Diseases, Chittagong",1
,Dhaka Dental College Hospital,1
,Hospitals of alternative medical colleges,2
,Medical college hospitals,14
,"Other tertiary hospitals
(Mental Hospital, Pabna and Shaheed Sheikh Abu Naser Specialized
Hospital, Khulna)",2
,Specialty institute hospitals,11
,TB hospitals (Rajshahi and Khulna),2
,Subtotal: Tertiary,33
Total,,567
