0,1,2
Division,Name of institution,No. of seats
Junior midwifery institutions attached with medical college hospitals,,
Chittagong,"Nursing institutions attached with Comilla Medical College Hospital, Comilla",25
,Nursing institutions attached with Noakhali Medical College Hospital,25
,"Chittagong Nursing College, Chittagong Medical College Hospital",25
Dhaka,"Nursing institutions attached with Faridpur Medical College Hospital, Faridpur",25
,"Dhaka Nursing College, Dhaka Medical College Hospital, Dhaka",50
,"Mymensingh Nursing College, Mymensingh Medical College Hospital",25
,"Nursing institutions attached with SSMC Hospital, Mitford, Dhaka",25
Khulna,Nursing institutions attached with Khulna Medical College,25
Rangpur,Nursing institutions attached with Dinajpur Medical College,25
,"Rangpur Nursing College, Rangpur Medical College Hospital",25
Barisal,"Barisal Nursing College, Barisal Sher-e-Bangla Medical College Hospital",25
Sylhet,"Sylhet Nursing College, MAG Osmani Medical College Hospital, Sylhet",25
Rajshahi,"Rajshahi Nursing College, Rajshahi Medical College Hospital",25
,"Bogra Nursing College, Shaheed Ziaur Rahman Medical College Hospital",25
Total,,375
Junior midwifery institutions attached with general hospitals,,
Dhaka,Nursing institutions attached with Tangail General Hospital,25
Khulna,Nursing institutions attached with Jessore General Hospital,25
,Nursing institutions attached with Kushtia General Hospital,25
Rajshahi,"Nursing institutions attached with Mohammad Ali Hospital, Bogra",25
,Nursing Institutions attached with Pabna General Hospital,25
,Nursing institutions attached with Sirajganj General Hospital,25
Total,,150
Junior midwifery institutions attached with district hospitals,,
Chittagong,Nursing institutions attached with Brahmanbaria District Hospital,25
,"Foujderhat Nursing College, Chittagong",25
Dhaka,Nursing institutions attached with Munshiganj District Hospital,25
,Nursing institutions attached with Rajbari District Hospital,25
,"Nursing Institute, Manikganj",25
,Nursing institutions attached with Gopalganj District Hospital,25
,Nursing institutions attached with Kishoreganj District Hospital,25
Khulna,Nursing institutions attached with Satkhira District Hospital,25
,Nursing institutions attached with Jhenaidah District Hospital,25
Sylhet,Nursing institutions attached with Habiganj District Hospital,25
Rajshahi,Nursing institutions attached with Joypurhat District Hospital,25
Total,,275
Grand total,,800
