0,1,2
"Table 6. Top 20 causes of registered certified causes of death, DGHS facilities, Bangladesh, 2023",,
Disease category GBD WHO,Name of the Disease,Total
Non-communicable diseases,Cardiovascular diseases,"60,978"
"Communicable, maternal, perinatal and
nutritional conditions","Conditions arising during the perinatal
period","19,055"
"Communicable, maternal, perinatal and
nutritional conditions",Other infectious and parasitic diseases,"13,500"
Non-communicable diseases,Respiratory diseases,"11,363"
Non-communicable diseases,Other non-communicable diseases,"8,129"
Non-communicable diseases,Genito-urinary diseases,"6,014"
Non-communicable diseases,Digestive diseases,"5,183"
"Communicable, maternal, perinatal and
nutritional conditions",Respiratory infections,"4,926"
Non-communicable diseases,Malignant neoplasms,"4,841"
Injuries,Other injuries,"4,388"
