0,1,2
Table continued...,,
Facility,Major Surgery,Minor Surgery
Colonel Malek Medical College Hospital*,77,102
Cumilla Medical College Hospital,"17,513","21,226"
Dhaka Medical College Hospital,"35,097","74,647"
Khulna Medical College Hospital,"7,140","8,343"
M. Abdur Rahim Medical College Hospital,"5,747","4,808"
"Mugda Medical College Hospital, Dhaka","8,368","3,839"
Mymensingh Medical College Hospital,"20,047","98,551"
Rajshahi Medical College Hospital,"20,983","26,568"
Rangpur Medical College Hospital,"11,012","33,712"
Satkhira Medical College Hospital,411,622
Shaheed M. Monsur Ali Medical College Hospital,"1,603","2,961"
Shaheed Suhrawardy Medical College Hospital,"12,394","9,808"
Shaheed Taj Uddin Ahmad Medical College Hospital,"2,359","6,941"
"Shaheed Ziaur Rahman Medical College Hospital, Bogura","10,726","17,578"
Shahid Syed Nazrul Islam Medical College Hospital,"3,572","6,388"
"Sheikh Hasina Medical College Hospital, Tangail",54,82
Sheikh Sayera Khatun Medical College Hospital,-,-
"Sher-E-Bangla Medical College Hospital, Barishal","12,129","18,489"
Sir Salimullah Medical College Hospital,"11,807","17,050"
Sylhet MAG Osmani Medical College Hospital,"26,891","38,767"
Total,"252,904","482,572"
