0,1,2,3,4
"Table 13.2. Establishment of new healthcare units and procurement of modern equipment
during 2014–2023 (HSM, DGHS, 2023)",,,,
New healthcare unit,Number,,Modern medical equipment,Number
Operation theater,186,,MRI Machine,15
ICU ventilator,455,,CT Scan Machine,20
ICU bed,728,,Auto-analyzer Machine,348
CCU bed,619,,Echo Color Doppler Machine,93
HDU bed,150,,Bronchoscope Machine,17
NICU bed,60,,Brachytherapy Machine,5
SCANU,73,,Cobalt Machine,4
Dialysis bed,447,,Ultrasound Machine,169
Dialysis ventilator,169,,X-ray Machine,190
Cath lab,20,,,
Burn unit,8,,,
Medical waste management,37,,,
