0,1,2
Sl,Name of Institute,Email Address
No.,,
3,"MAG Osmany Medical College Hospital, Sylhet",dir_fomch@yahoo.com
4,"Rajshahi Medical College Hospital, Rajshahi",dir_rmch@yahoo.com
Othr Institutes,,
1,"National Institute of Ophthalmology, Dhaka",directornio@walla.com
2,National Centre for Control of Rheumatic Fever and Heart Disease,nccrfhd@bangla.net
3,"National Institute of Kidney Diseases & Urology, Dhaka",zahangirkabir@email.com
4,Institute of Public Health,iphn@bangla.net
5,"National Institute of Cardiovascular Diseases, Dhaka.",ictnicvd@bttb.net.bd
Divisional Offices,,
1,"Director (Health), Dhaka Division",ddhealth@vinciit.net
2,"Director (Health), Chittagong Division",mdmonir@bttb.net.bd
3,"Director (Health), Khulna Division",misdhk@bttb.net.bd
4,"Director (Health), Rajshahi Division",misdhr@bttb.net.bd
5,"Director (Health), Barisal Division",bmisdhbl@bttb.net.bd
Civil Surgeon Offices under Dhaka Division,,
3,"Civil Surgeons Office, Sherpur",csoffice@bttb.net.bd
5,"Civil Surgeons Office, Tangail",cs_dhaka@yahoo.com
6,"Civil Surgeons Office, Narsingdi",csnar@bttb.net.bd
7,"Civil Surgeons Office, Tangail",cstang@bttb.net.bd
8,"Civil Surgeons Office, Kishoreganj",cskgonj@bttb.net.bd
10,"Civil Surgeons Office, Gopalganj",cs-gopalgonj@yahoo.com
12,"Civil Surgeons Office, Munshiganj",cso@bttb.net.bd
14,"Civil Surgeons Office, Rajbari",csrajbari@yahoo.com
15,"Civil Surgeons Office, Jamalpur",nokshics@bttb.net.bd
16,"Civil Surgeons Office, Netrokona",csnetro@bttb.net.bd
17,"Civil Surgeons Office, Faridpur",csfarid@bttb.net.bd
Civil Surgeon Offices under Rajshahi Division,,
1,"Civil Surgeons Office, Chapi Nawabganj",cschapai@bttb.net.bd.
2,"Civil Surgeons Office, Joypurhat",csjoypur@bttb.net.bd.
3,"Civil Surgeons Office, Naogaon",cs_ngn@bttb.net.bd
4,"Civil Surgeons Office, Thakurgaon",csthak@yahoo.com
5,"Civil Surgeons Office, Natore",csnatore@bttb.net.bd.
6,"Civil Surgeons Office, Dinajpur",csdin@bttb.net.bd.
7,"Civil Surgeons Office, Panchagarh",cspnchgr@bttb.net.bd
8,"Civil Surgeons Office, Bogra",csbogra@bttb.net.bd.
9,"Civil Surgeons Office, Rajshahi",csraj7@yahoo.com.
10,"Civil Surgeons Office, Lalmonirhat",cslal@yahoo.com
11,"Civil Surgeons Office, Serajganj",cssiraj@bttb.net.bd
12,"Civil Surgeons Office, Rangpur",csrang@bttb.net.bd
13,"Civil Surgeons Office, Kurigram",cskuri@bttb.net.bd
14,"Civil Surgeons Office, Gaibandha",miscsgab@bttb.net.bd
15,"Civil Surgeons Office, Nilphamari",csnilfta@bttb.net.bd
16,"Civil Surgeons Office, Pabna",cspabna@bttb.net.bd.
