0,1,2
Sl,Name of Institute,Email Address
No.,,
Civil Surgeon Offices under Chittagong Division,,
2,"Bazar Civil Surgeons Office, Coxs Bazar",cscxb@bttb.net.bd
3,"Civil Surgeons Office, Feni",csfeni@bttb.net.bd.
5,"Civil Surgeons Office, Comilla",cscml_bd@bttb.net.bd
6,"Civil Surgeons Office, Khagrachari",cskhag@bttb.net.bd
7,"Civil Surgeons Office, Chandpur",cschand@bttb.net.bd
9,"Civil Surgeons Office, Noakhali",csnoakhali@yahoo.com
11,"Civil Surgeons Office, Bandarban",cgobbns@bttb.net.bd
Civil Surgeon Offices under Sylhet Division,,
4,"Civil Surgeons Office, Hobiganj",cshabiganj2005@yahoo.com
Civil Surgeon Offices under Khulna Division,,
1,"Civil Surgeons Office, Khulna",cskln@bttb.net.bd
2,"Civil Surgeons Office, Bagerhat",csbager@bttb.net.bd
3,"Civil Surgeons Office, Satkhira",cssatkhira@yahoo.com
5,"Civil Surgeons Office, Magura",csmagura@bttb.net.bd
6,"Civil Surgeons Office, Jhenaidah",csjhe@bttb.net.bd
7,"Civil Surgeons Office , Narail",csnrl@bttb.net.bd
9,"Civil Surgeons Office, Chuadanga",cschua@bttb.net.bd
Civil Surgeon Offices under Barisal Division,,
1,"Civil Surgeons Office, Barisal",csbsl@bttb.net.bd
2,"Civil Surgeons Office, Bhola",csbhola@bttb.net.bd.
3,"Civil Surgeons Office, Patuakhali",pkh@bttb.net.bd
4,"Civil Surgeons Office, Jhalkathi",jhal@bttb.net.bd.
