0,1,2,3,4,5,6,7,8,9,10
Male,Age group,,,,,,,,,
ICD-O,,<=14,15-24,25-34,35-44,45-54,55-64,65-74,=>75,Total
C00,LIP,1,1,1,3,4,5,1,1,17
C01.9,Base of the tongue,4,3,7,9,4,8,2,4,41
C02.4,Lingual tonsil,2,0,7,1,1,2,2,0,15
C02.9,Tongue,1,2,7,11,46,43,29,9,148
C03.9,Gum,0,0,0,4,1,1,2,1,9
C04.9,Floor of the mouth,0,1,4,4,7,3,2,3,24
C05.0,Hard palate,1,3,1,2,4,3,2,2,18
C05.1,Soft palate,0,2,1,3,2,5,1,1,15
C05.9,Palate,0,0,0,2,5,3,2,0,12
C06.0,Cheek /buccal mucosa,2,1,4,15,26,28,26,3,105
C06.9,Oral cavity/Buccal cavity,0,2,1,4,9,7,6,2,31
C07.9,Parotid Gland,2,2,3,4,9,7,4,1,32
,Sub mandibular/maxillary,,,,,,,,,
,,0,1,1,6,12,15,8,4,47
C08.0,gland,,,,,,,,,
,,,,,,,,,,
C09.0,Tonsillar fossa,0,0,0,0,2,3,0,1,6
C09.9,Tonsil,0,0,3,4,22,22,11,6,68
C10.0,Valecula,0,0,0,1,1,2,1,1,6
C10.4,Branchial cleft,0,0,0,0,1,3,1,0,5
C10.9,Oropharynx,0,0,0,0,2,3,0,0,5
C11.9,Nasopharynx,3,4,2,4,7,10,2,0,32
C12.9,Pyriformsinus/fossa,3,1,1,11,22,30,17,11,96
C13.0,Cricoid,0,0,0,0,0,0,1,0,1
C13.1,Aryepiglotic fold,0,0,0,1,3,8,2,1,15
C13.9,Hypopharynx,0,0,0,0,1,4,3,0,8
C13.9,Laryngopharynx,0,0,0,0,0,3,0,0,3
C14.0,Pharynx,0,0,0,0,5,4,3,2,14
C15.0,Cervical oesophagus,0,1,2,3,4,5,2,1,18
C15.2,Abdominal oesophagus,0,0,0,0,0,0,1,0,1
C15.3,Upper 3rd of oesophagus,0,0,0,1,0,0,0,0,1
C15.4,Middle 3rd of oesophagus,0,0,0,0,1,0,0,0,1
C15.9,Oesophagus,0,0,3,30,56,118,80,34,321
C16.3,Gastric antrum,0,0,0,3,1,0,0,0,4
C16.9,Stomach,1,4,14,42,70,90,56,23,300
C17.0,Duodenum,0,0,0,1,1,0,1,1,4
C17.1,Jejunum,0,0,1,4,1,4,3,0,13
C17.2,Ileum,0,1,1,1,0,1,0,1,5
C18.0,Cecum,0,0,3,2,1,2,0,0,8
C18.2,Ascending colon,0,0,1,0,0,0,1,0,2
C18.3,Hepatic flexure,0,1,0,0,3,2,2,0,8
C18.7,Sigmoid colon,0,0,0,0,2,1,0,0,3
