0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"গণপ্রোতন্ত্রী োংলারদে িিকাি
স্বাস্থ্য ও পরিোি কল্যাণ মন্ত্রণালয়
স্বাস্থ্য জিো রেৈাগ
স্বাস্থ্য অরধদপ্তি, এম আই এি
জহলথ ইমারেন্সেী অপারিেন জিন্টাি ও কররাল রুম
মহাখালী, ঢাকা-১২১২",,,,,,,,,,,,,,,,
তারিখঃ,,,,,,,,,,,,,,08-05-2023 ইং,,
ক্রঃ নং,রেৈারগি নাম,"হািপাতারলি নাম
পরিচালক/তত্ত্বােধায়রকি নাম ও জমাোইল নম্বি",জেড িংখ্যা,,,জৈরন্টরলটি,ৈরতকৃেত জিাগীি িংখ্যা,,,"গত ২৪ ঘন্টায়
ৈরত েজিাগীি
িংখ্যা","গত ২৪ ঘন্টায়
োড়প্রাপ্ত
জিাগীি িংখ্যা","অরক্সরেন
রিরলন্ডারিি িংখ্যা","হাইরলা
জনোল
কযারনালা","অরক্সরেন
কনরিনরট্রইটি","জিরাল অরক্সরেন
লাইন",মন্তব্য
,,,জেনারিল জেড,আইরিইউ জেড,এইচ রড ইউ জেড,,,,,,,,,,,
,,,,,,,জেনারিল জেড,আইরিইউ জেড,এইচ রডইউ জেড,,,,,,,
**,ঢাকা মহানগি,,৪৪৪০,৭৩১,৫২০,৬২৬,০,১৬,৬,৭,৪,১০০৫৬,১০৩০,৪৬৫,"৪৮ টাি মরে ৪৮ টিরত
আরে",
১,ঢাকা,"রেনরেিা ২০ জেড হািপাতাল, ঢাকা",২০,০,০,০,০,০,০,০,০,৩৮,১,৩,আরে,
২,,"েঙ্গেন্ধু জেখ মুরেে জমরডরকল করলে হািপাতাল,ফরিদপুি",৫০,২২,৬,২৭,০,০,০,০,০,৫১০,২৫,৪৫,আরে,
৩,,"েহীদ তােউরিন আহরমদ জমরডরকল করলে হািপাতাল, গােীপুি",১০০,৮,২,০,০,০,০,০,০,৫৫০,১১,৮৭,আরে,
৪,,"জগাপালগঞ্জ ২৫০ েয্যা জেনারিল হািপাতাল, জগাপালগঞ্জ",১০০,১০,০,১০,০,০,০,০,০,২,৩,০,আরে,
৫,,"েহীদ সিয়দ নেরুল ইিলাম জমরডরকল করলে হািপাতাল, রকরোিগঞ্জ",২২৫,১০,১৫,১৪,০,০,০,০,০,৩০৭,১৭,৩৬,আরে,
৬,,"ট্রমা জিন্টাি, সৈিে,রকরোিগঞ্জ",৪৫,০,০,০,০,০,০,০,০,৫২,০,৬,আরে,
৭,,"২৫০ েয্যা িদি হািপাতাল, মাদািীপুি",৪২,০,০,০,০,০,০,০,০,১৫৩,৫,১৮,আরে,
৮,,"২৫০ েয্যা জেনারিল হািপাতাল, মারনকগঞ্জ",৯৬,২,২,৯,০,০,০,০,০,২১২,১০,২২,আরে,
৯,,"জেনারিল হািপাতাল, মুন্সীগঞ্জ",৫০,০,০,০,০,০,০,০,০,১৩৩,৪,২৪,আরে,
১০,,"৩০০ েয্যা রেরেষ্ট হািপাতাল, নািায়নগঞ্জ",১০৪,১০,৬,১২,০,০,০,০,০,৩৭৪,১৮,৬৩,আরে,
১১,,"১০০ েয্যা জেলা হািপাতাল, নিরিংদী",১২০,০,০,০,০,০,০,০,০,২০৩,৪,১৩,আরে,
১২,,"জেলা হািপাতাল, িােোড়ী",২০,০,০,০,০,০,০,০,০,১৫২,৫,১৫,আরে,
১৩,,"২০ েয্যা জকারৈড হািপাতাল ,জেলা িদি হািপাতাল, েিীয়তপুি",২০,০,০,০,০,০,০,০,০,২০,০,৮,আরে,
