0,1,2,3
Variables,Male (%),Female (%),Total (%)
Religion,,,
Islam,5767 (51.9),4659 (41.9),10426 (93.9)
Hinduism,338 (3.0),301 (2.7),639 (5.8 )
Christianity,15 (.1),15(0.1),30 (0.3)
Buddhism,5 (.0),7 (0.1),12 (0.1)
Marital status,,,
Never married,414 (3.7),193 (1.7),607 (5.5)
Married,5703 (51.3),4136(37.2),9838 (88.6)
Widowed,9 (0.1),627 (5.6),636 (5.7)
Divorced,0 (0.0),26 (0.2),25 (0.2)
Education,,,
Not applicable,99 (0.9),50 (0.5),149 (1.3)
Illiterate,2276 (20.5),2352 (21.2),4628 (41.7)
Primary,2483 (22.4),1813 (16.3),4296 (38.7)
Secondary,608 (5.5),394 (3.5),1002 (9.0)
Higher secondary,311 (2.8),220 (2.0),531 (4.8)
Graduate & above,349 (3.1),153 (1.4),502 (4.5)
Occupation,,,
Not applicable,92 (0.8),43 (0.2),135 (1.2)
Service,845 (7.6),129 (1.2),974 8.8)
Business,943 (8.5),12 (0.1),955 (8.6)
Agriculture,3291(26.6),10 (0.1),3301 (29.7)
Day labourer,302(2.7),5 (0.0),307 (2.8)
House wife,,4650 (41.9),5650 (41.9)
Retired/ aged,294 (2.6),15 (0.1),309 (2.8)
Industrial worker,61(0.5),0 (0.0),61(0.5)
Student,263 (2.4),140 (1.3),403 (3.6)
Others,6(0.1),6 (0.1),12 (0.2)
