0,1,2,3,4,5
SL,Aspects of Environmental issues,"Compliance
Status*",,,Remarks
,,FC,PC,NC,
A.,General,,,,
1.,Legal working hours,,,,
2.,Employment Recordkeeping arrangement,,,,
3.,Payment Record keeping arrangement,,,,
4.,"Environment, Health, and Safety Officer
designated",,,,
5.,"Provision for the monthly meeting for the
inspection of site activities",,,,
B.,Health and Sanitation,,,,
Public Health,,,,,
1.,"Emergency medical facilities & first aid box
at field office and work sites",,,,
2.,"Waste disposal arrangement at camp and
work sites",,,,
3.,Safe water supply arrangements,,,,
Occupational Health,,,,,
1.,First-Aid Box availability at worksites,,,,
2.,"Provision of personal protection equipment’s
(PPEs)",,,,
