0,1,2,3,4,5,6,7,8,9,10,11
,,Year 2001,,Year 2002,,Year 2003,,Year 2004,,Year 2005,
Sl.,Name of,Incidence,,Incidence,,Incidence,,Incidence,,Incidence,
No.,Division,,CFR,,CFR,,CFR,,CFR,,CFR
,,Rate,,Rate,,Rate,,Rate,,Rate,
,,,,,,,,,,,
3,Dhaka,0.017,1.88,0.041,0.84,0.003,2.00,0.026,0.34,0.007,0.39
4,Khulna,0.001,0.00,0.001,7.38,0.000,0.00,0.000,0.00,0.000,0.00
5,Rajshahi,0.000,,0.000,0.00,0.000,,0.000,0.00,0.000,0.00
6,Sylhet,0.000,,0.000,0.00,0.000,,0.000,,0.000,
All Divisions,,0.005,1.81,0.011,0.95,0.001,2.06,0.007,0.33,0.002,0.38
