0,1,2,3,4,5
Age 0-2 8 day(s),,,,,
Boy,,Girl,,Both sexes,
IMCI diseases,33.37,IMCI diseases,38.70,IMCI diseases,35.60
Perinatal asphyxia,30.01,Perinatal asphyxia,21.63,Perinatal asphyxia,26.50
Prematurity/low birthw eight,5.66,Septicemia,4.80,Prematurity/ Low birthw eight,4.67
Septicemia,4.14,Prematurity/L ow birthw eight,3.30,Septicemia,4.42
Total deaths,460,Total deaths,332,Total deaths,792
Age 29 day - 11m onths,,,,,
Boy,,Girl,,Both sexes,
IMCI diseases,66.00,IMCI diseases,71.76,IMCI diseases,69.00
Septicemia,1.89,Other infective conditions,1.49,Septicemia,1.55
Meningitis/ E ncephalitis,1.35,Septicemia,1.24,"Meningitis/
Encephalitis",1.29
Other infective conditions,1.08,Meningitis / Encephalitis,1.24,Other infective conditions,1.29
Perinatal asphyxia,0.54,Perinatal asphyxia,0.25,Perinatal asphyxia,0.39
Total deaths,371,Total deaths,404,Total deaths,775
Age 1- 4 year(s),,,,,
Boy,,Girl,,Both sexes,
IMCI diseases,62.90,IMCI diseases,65.98,IMCI diseases,64.50
Meningitis/ E ncephalitis,2.71,Meningitis/ Encephalitis,5.00,Meningitis/ E ncephalitis,3.90
Injury,2.26,Injury,1.67,Injury,1.95
Asthma,2.26,Congenital heart diseases,1.67,Asthma,1.74
Acute abdomen,1.81,Septicemia,1.67,Septicemia,1.52
Septicemia,1.36,Asthma,1.25,Congenital heart diseases,1.30
Congenital heart diseases,0.90,Acute abdomen,0.42,Acute abdomen,1.08
Total deaths,221,Total deaths,240,Total deaths,461
Age 5 -1 4y ears,,,,,
Boy,,Girl,,Both sexes,
Meningitis/ Encephalitis,18.42,Pneumonia andother RTIs,19.40,Pneumonia an dother RTIs,18.88
Pneumonia an dother RTIs,18.42,Meningitis/ Encephalitis,14.93,Meningitis/ E ncephalitis,16.78
IMCI diseases,11.84,IMCI diseases,13.57,IMCI diseases,12.65
Diarrhea/ Dysentery,3.95,Diarrhea/ D ysentery,10.45,Diarrhea/ D ysentery,6.99
Nutritional problems,3.95,Acute abdomen,5.97,Nutritional problems,4.90
Acute abdomen,2.63,Nutritional problems,5.97,Acute abdomen,4.20
Total deaths,76,Total deaths,67,Total deaths,143
Age 15 - 24 years,,,,,
Male,,Female,,Both sexes,
Pneumonia an dother RTIs,12.70,Pregnancy-r elated problems,17.65,Other cardiovascular diseases,11.56
Other cardiovascular diseases,12.70,Other cardiovascular diseases,11.03,Nutritional problems,7.04
Asthma,7.94,Nutritional problems,6.62,Pneumonia an dother RTIs,7.04
Injury,7.94,Injury,5.15,Injury,6.03
Nutritional problems,7.94,Meningitis/ E ncephalitis,5.15,Meningitis/ Encephalitis,4.52
Meningitis/ Encephalitis,3.17,Cerebro-vascular accident,4.41,Cerebro-vascular accident,3.52
Cerebro-vascular accident,1.59,Pneumonia & other RTI,4.41,Asthma,3.52
Total deaths,63,Total deaths,136,Total deaths,199
