0,1,2,3,4,5,6,7
Fiscal year,Total health expenditure,,,,GDP,,
,"Current
(Taka)","Constant
(Taka)*","Current
(US$)","Real
growth
rate (%)","Current
(Taka)","Constant
(Taka)*","Current
US$"
1996-1997,393,600,9.2,,"14,571","22,258",341
1997-1898,426,627,9.4,4.5,"15,901","23,425",350
1998-1999,466,662,9.7,5.6,"17,209","24,483",358
1999-2000,506,709,10.1,7.1,"18,313","25,666",364
2000-2001,571,794,10.6,12.0,"19,499","27,137",361
2001-2002,624,840,10.9,5.8,"20,557","27,661",358
2002-2003,665,860,11.5,2.3,"22,298","28,800",385
2003-2004,742,920,12.6,7.0,"24,181","29,951",410
2004-2005,845,982,13.8,6.8,"26,747","31,085",436
2005-2006,988,"1,085",14.7,10.5,"29,568","32,469",441
2006-2007,"1,118","1,118",16.2,3.0,"32,831","32,831",476
*Constant price of health expenditure and GDP were expressed in terms of 2007 prices,,,,,,,
