0,1,2,3,4,5,6,7,8,9,10,11,12
Bed-occupancy rate (% ),No. and % of upazila health complex es,,,,,,,,,,,
,2005,,2006,,2007,,2008,,2009,,2010,
,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%
Below 40.0 0,8,2.33,14,3.92,11,3.05,10,2.48,8,1.96,40,9.69
40.01– 50.00,9,2.62,20,5.6,14,3.88,42,10.4,23,5.64,23,5.57
50.01– 60.00,17,4.96,26,7.28,27,7.48,59,14.6,36,8.82,52,12.59
60.01– 70.00,45,13.12,36,10.08,48,13.3,74,18.32,75,18.38,48,11.62
70.01– 80.00,58,16.91,62,17.37,80,22.16,76,18.81,113,27.7,73,17.68
80.01– 90.00,97,28.28,75,21.01,69,19.11,61,15.1,60,14.71,56,13.56
90.01– 100.00,73,21.28,70,19.61,67,18.56,48,11.88,48,11.76,35,8.47
100.01– 110.00,27,7.87,36,10.08,37,10.25,16,3.96,20,4.9,30,7.26
110.01- 120.00,22,6.41,15,4.2,7,1.94,16,3.96,12,2.94,25,6.05
120.01- 130.00,3,0.87,2,0.56,1,0.28,0,0,9,2.21,14,3.39
130.01– 140.00,1,0.29,1,0.28,0,0,0,0,4,0.98,6,1.45
Above 140,0,0.0,0,0.0,0,0.0,2,0.5,0.0,0.0,11,2.66
Tota l,343,100.0,357,100.0,361,100.0,404,100.0,408,100.0,413,100.0
