0,1,2,3,4,5,6,7,8
"Table 16.8. Numbers of sanctioned, filled-up and vacant posts under the DNS in 2014 and 2015",,,,,,,,
Year (Month),,,,Category,Sanctioned,Filled-up,Vacant,Vacancy rate (%)
Class I,,,,,,,,
2014,(June),,,Nursing,311,166,145,46.95
,,,,Non-nursing,1,-,1,100.0
2015,(June),,,Nursing,313,148,165,52.71
,,,,Non-nursing,1,0,1,
Class II,,,,,,,,
2014,,(June),,Nursing,"22,357","12,928","5,429",24.28
,,,,Non-nursing,20,9,11,55.0
2015,,(June),,Nursing,"21,234","16,082","5,152",24.26
,,,,Non-nursing,20,9,11,55
Class III,,,,,,,,
2014,,,(June),Nursing,611,611,0,0
,,,,Non-nursing,368,289,79,21.47
2015,,,(June),Nursing,610,610,0,0
,,,,Non-nursing,368,299,69,18.75
Class IV,,,,,,,,
2014,(June),,,Non-nursing,704,664,40,5.68
2015,(June),,,Non-nursing,704,623,81,11.50
